,phrase,translation
366,кль,маленьких размеров самка зверя
367,соль,иней
368,ӣти ,ночью
369,ликми,попадется
370,ляпа,около
371,нюлы,пихта
372,слы,седина
373,нлы,ложка
374,лмвой,комар
375,лёпги,шепчет
376,ертысьма,сильный мороз
377,ēри ,кривая (ель)
378,ёса,"лыжи, покрытые камусом"
379,рн,ненец
380,ятри,косач
381,хул,чебак
382,юнсы,дремлет
383,свой,орел
384,ӯринква,ворона
385,пльтул,бельмо
386,сс ,чага
387,сс ,часы
388,тсам ,сухой
389,тсам ,тёзка
390,мань,сноха
391,пись,мудрость
392,поть,кап
393,пальта,пальто
394,ньт,рог (животного)
395,письма,письмо
396,питьми,губа
397,пити ,гнездо
398,ханьси ,гадает
399,пли ,подмерзает
400,нили ,чистит [чешую рыбы]
401,сиси ,младенец
402,ляпа ,близкий
403,нēлм ,язык
404,сёл ,сила
405,ср ,шарик
406,нюлы ,пихта
407,сюнь ,изобилие
408,тпыӈ ,милый
409,питы ,всякий хлам
410,поты ,"мягкое имущество кучей, без порядка"
411,лас,снег на ветках дерева
412,паннэ,налим
413,сэхви,всхлипывает
414,тс,он ел
415,лэгн,"живете вы (двое, многие)"
416,сг,налим
417,лст ӯнлы,в классе сидит
418,из русского языка,баржá
419,свет из русского языка,совет
420,рталь из русского языка,артéль
421,ýчӣтель ,дежурный
422,пальтл,глухой
423,от паль,ухо
424,ттл,безволосый
425,ёргаллуӈкве,важничать
426,ёр,"гордость, важность"
427,хулгаллуӈкве,пошатываться
428,хулгуӈкве,покачиваясь ходить
429,ханьсьтнтуӈкве,"длительно, долго учить что-нибудь, когонибудь"
430,ханьсюӈкве,знать
431,омa,мама
432,увси,старшая сестра
433,аким йка,дедушка
434,тул,облако
435,акв кол,один дом
436,стыр тл,тысяча лет
437,но стыра,тысяча
438,хос вль,длинный плес
439,хоса лыс,долго жил
440,хӯрм накпа кол,трёхэтажный дом
441,хӯрум,три
442,т′ит  хтал,два дня
443,т′итыг ,два
444,ргум,моя песня
445,прых,туловище
446,прхын,твое туловище
447,трум,небо
448,трмум,моё небо
449,хансуӈкве,писать  что-либо
450,хассылтаӈкве,"""по)просить написать  что-либо"
451,сунсуӈкве,смотреть
452,суссылтаӈкве,показать
453,ханьсен,угадай
454,хасьсум,[я] отгадала (загадки)
455,рӈхуӈкве,кричать
456,рхсум,я кричал (а)
457,ӈхыӈ,серу имеющее (дерево)
458,х,сера
459,хумкве,хороший мужчина
460,лыкве,он (милейший) живет
461,тӈкве,есть
462,тен,кушай
463,тыттуӈкве,кормить кого-либо
464,виӈкве,взять
465,воен,бери
466,йиӈкве,идти
467,ювум ,я иду
468,миӈкве,дать
469,мыгум,я даю
470,маен,ты дай
471,нумын,наверху
472,лӯил,снизу (по реке)
473,лӈхаль,по направлению к низовью реки
474,мʹēт ,цена
475,пēс ,старый (дом)
476,рēт ,притворство
477,мʹис ,корова
478,пʹис ,подклад
479,рʹис ,слабый (легко раскалывающийся)
480,пилы,боится
481,лылы,живая душа
482,лылы п,выдыхаемый и вдыхаемый воздух
483,ханылпатта,подмышка
484,ёлпаты,упадет
485,номилн,вы помните
486,что означает,подруга
487,Хсыӈ что означает,умелец
488,сорт йка яныг пыг ква означает,жена старшего сына мужчины «щуки»
489,которые были 16 Термины ōйка,мужчина
490,Мрья,Мария
491,Катьтяри,Катерина
492,Окупья,Агафья
493,Мрья Пēтрвна,Мария Петровна
494,Улякси Иванвич,Алексей Иванович
495,Трья ква Ёхыр,Егор женщины Дарьи
496,Мрькв ги,дочь женщины Марьи
497,Мāнья,маленькая река
498,лӯс,"""прибрежная сырая) луговина"
499,сун,нарта
500,трквāлыг,материал (мануфактура)
501,слголн,серебро
502,врил,делание
503,ӯнлыл,сидение
504,пасан,стол
505,кол ала,крыша (дома)
506,кол алагыг,крыши (две)
507,от кол ала,крыша
508,пасаныг,столы (два)
509,нлыг,стрелы (две)
510,нлиг,слопцы (два)
511,от нль,слопец
512,вийыг,двери (две)
513,aви,дверь
514,слыйыг 63   ,олени (два)
515,ныт,чашки
516,камкат,гимги (рыболовные снасти)
517,от камка,гимга
518,маньнэт,молодухи
519,йӣвыт,деревья
520,нлит,слопцы
521,нль,слопец
522,номт,ум
523,нол,наледь (на льду)
524,хол,заморозок
525,Ты тӯя хӯрум хол врыглас,Этой весной три заморозка было
526,Трм лнэ аквтит номт ам иӈ ньсēгум,"Чтобы хорошо прожить жизнь, у меня ещё есть однадве мысли (т.е. я ещё разумный человек)"
527,Хумыг нлагēн воськасасагēн,Мужчины (двое) свои стрелы (две) запустили (две)
528,Такое изменение гласного на письме не было принято обозначать (колыт,дома
529,но колт,в доме
530,aныт,чашки
531,но aнт,в чашке
532,Хумыг нлагēн воськасасанн,Мужчины (двое) свои стрелы (две) запустили (многие)
533,тӯпыгыг,весла (два)
534,срсигыг,моря (два)
535,срысь,море
536,суныгыг,нарты (две)
537,йкагыг,мужчины (двое)
538,паг,в люльку
539,от па,люлька
540,Снягēн сягēн слыллувыл спитавес,Отец и мать ей дали в приданное оленейлошадей
541,Здесь имена хӯл,рыба
542,лӈн,белка
543,лгыл,нога
544,сaм,зрение
545,вй,обувь
546,сaмпал,один глаз (чейто)
547,Самплэ гмыӈ,Его (один) глаз болит
548,сампалсӯппал,урод
549,соваге,глаза его (два)
550,сов,кожа
551,сюкамаге,задние лапы его (две)
552,сюкам,"старая, драная головка обуви"
553,ктлаге,передние лапы его (две)
554,паляге,уши его (двое)
555,паль,ухо
556,толгаге,неводы его (два)
557,толыг,невод
558,кваг йкаг лг,Муж и жена живут
559,гирисиг пгрисиг ктн паттыс,Она двойняшек родила: девочку и мальчика
560,Тав мисыг лувыг ньси,У него есть корова и лошадь
561,Cаманэ палянэ нас тгтаēгыт,Его облик страшный
562,Тав мисаге луваге иӈ ньсияге,Он всё ещё  содержит своих корову и лошадь
563,Трум хтылас,День настал
564,Апгум стутēнтыг та ēмтыс,Мой внук уже стал студентом
565,мн исколав,Тот большой дом – это наша школа
566,нн лылын нгылттам хумин ты,"Я – это тот человек, который вам спас жизнь"
567,Наӈти кӯтюв,Ты сам как собака
568,Сēман йка нуйтгыл нтылтаптас,Семен заказал шить костюм
569,Рӯтиван тыньсяӈ саги,Родион плетет аркан
570,Āгирисит ёнгын коланыл хотсакватымат,"Игрушечные дома девочек, оказывается, кто-то сломал"
571,в данном предложении слово обладатель гирисит,девочки
572,выраженное словом коланыл,их многих один дом
573,ещё Сун лгыл хотпокапам,"Оказывается, ножка нарты дала трещину"
574,также ква нврамэ,Ребенок женщины
575,пӯт пӈк,копоть котла
576,нум ёт выглын?,"Тётя, ты меня с собой возьмёшь?"
577,Хара пвылкан пхыт турман хвтсяхыл яныгми,У покинутой деревни растёт густая еловая роща
578,Āрась вта хисьра нёл,Около костра курносый нос (загадка о чайнике)
579,сй сн,"берестяная чашка, содержащая песок"
580,сй ныныл,"из берестяной чашки, содержащей песок"
581,сй,песок
582,сс кол,дом
583,сс колт,в берестяном доме
584,сс колн,в берестяной дом
585,нуй кувысь,малица из сукна
586,сыгсов хӯрыг,мешок из налимьей кожи
587,сыгсов хӯрыгт,в мешке из налимьей кожи
588,сыг сов,налимья кожа
589,Тила  сккар висум,Я купил килограмм сахару
590,паль х,сера уха
591,Мēӈквыт алам ӯяныл пēнтуӈкве ӯсын мингыт,"Великаныменквы идут в город, чтобы обменять зверей, которых они добыли"
592,сун слы пувв,"Съездим в чум, поймаем (из стада) ездовых оленей"
593,Ам амти хпумн тлгум,Сяду в свою собственную лодку
594,Яныг мхманув Срахтан сорт няслуӈкве минасыт,Наши старые люди поехали на речку Сорахта ловить щук на блесну
595,Xилиӈыг ēмтум вылтыт мн пвылн лтыӈ врсув,"Мы сообщили в деревню о том, что поблизости появились волки"
596,ква пыгрись юивылт кве колн та ёхтыс,"Эква пыгрись, наконец, дошёл и до дома своей бабушки"
597,Тав хп пхн лымтахты,Он поспешит (к какой-то) лодке
598,Витн нлув тратлн,Далеко от берега на воду пусти (утенка)
599,Нвраматем ссн ойвес,Мой ребёнок уснул на коленях
600,Тинсум лувув хультгайн сялтум,"Лошадь, которую мы искали, оказывается, трясина засосала (на болоте)"
601,Хтал йӣвт халн птырас,Солце скрылось между деревьями
602,Пасанн пинуӈкве,Положить на стол
603,Xпēнн минас,Пошёл он 71   к своей лодке
604,Тӯрн нглсыт,Они вышли к озеру
605,Врколн ёхтысув,Мы дошли до лесной избушки
606,Пасан тармыл пинуӈкве,Положить на стол
607,Хпе палт минас,Пошёл он к своей лодке
608,Колумн сялтсум,Я вошёл в свой дом
609,Хпувн тлсум,Я сел в свою лодку
610,Ӯсын вглысув,Мы вошли в город
611,Потырн сямасыг тн,Они увлеклись разговором
612,ква пгрись пх тн йка колн суныӈ тгыл та куратас,"Эква пыгрись в дом мужчины, который ест мухомор, ввалился (.е. въехал) вместе с нартой"
613,нйив,дрова
614,а иногда и пил,ягода
615,минуӈкве,"идти, ехать"
616,ялуӈкве,"ходить, путешествовать"
617,Витн ялсум,Сходила я за водой
618,Нйивн минв,Мы идем за дровами (на заготовку дров)
619,Нврамт пилн ялсыт,Дети сходили по ягоды
620,пил втуӈкве …,ягоды собирать…
621,Хаслы нуйгалаӈкве ялсув,Мы сходили сдирать мох
622,Тн мнавн тл палытн тӈкве твылхатнуваныл,Они (продукты) обеспечили нас едой (их бы хватило нам) на всю зиму
623,Писаль улатэ лльнэ йӣвн вртыстэ,Он свой самострел закрепил на стоячее дерево
624,Слыт мӯра ёраныл тсам йӣвн нильталыяныл,Олени следы отрезанных (молодых) мягких рогов трут о сухое дерево
625,ква гитн виг йиныс,Женщина для своей дочки скроила кисы (обувь)
626,Юил йинэ мхманувн исум сй тств,"Нашим товарищам, которые идут с отставанием, мы приготовим горячий чай"
627,Кирсини квагн йкагн нйив вл тӯлгм,Я для старика и старухи крестьян занесу в дом дрова
628,Кӯсяр нвыль мпын лыслум,Я мясо бурундука сбросил собаке
629,лāвуӈкве,сказать о чем-либо кому-либо
630,тотуӈкве,донести кому-либо о чем-либо
631,Ӯй вӈха мостуме мхманн ат лви,"Он не говорит своим товарищам о том, что обнаружил берлогу"
632,Āгирись туяслыматэ вылтыт снēн полысь тотум,"Девочка, оказывается, донесла матери о том, что её подтолкнули"
633,Ань мпын нврам лгле тл та пурвес,"Собака укусила ребёнка,  вероятно, за ногу"
634,Ань кон тагатāлым суп мисн ювтвтвес,"Платье, которое вешали на улице (сушить), разжевала (именно) корова"
635,Ань ӯй мглэ яныг нлн тра минвес,Пуля прошла насквозь груди лося
636,Туман нēлум Kāтян хотпаттувес,Ключ от замка потеряла (именно) Катя (а не кто-нибудь другой)
637,Лсн патыглам сврӯм охсарн тйвес,"Зайца, который попался в петлю, съела лиса"
638,нйн тӈкве,сгореть
639,и тӈкве,есть
640,врн минас,заблудился он
641,и минуӈкве,идти
642,витн сялтуӈкве,утонуть
643,от вит,вода
644,и сялтуӈкве,войти (в помещение)
645,сорумн патуӈкве,умереть
646,сорум,смерть
647,и патуӈкве,упасть
648,тӯйтн туюӈкве,покрыть снегом
649,раквн раквуӈкве,дождем намочить
650,сяхылн сакватаӈкве,молнией громом разбить
651,посымн сялтвес,дымом наполнило (помещение)
652,Ты нпакт лнэ хурит ёмас вторн пслымат,"Картинки, которые помещены в этой книге, нарисовал хороший автор"
653,Селюскин мирн ам кт хосгысум,Я челюскинцам махал рукой
654,Мнь хумитнна лвēг,Они (двое) своему младшему брату говорят
655,мнавн послаӈкве патсанэ,Прибежал к нам кинооператор и начал нас фотографировать
656,Тав мāнав пвылн вовияге,Она нас зовёт (к себе) в деревню
657,Тн манавн ӯрхатгыт,Они нас ждут
658,Анумн кāсаластэ,Он меня увидел
659,ань āнумн ул кантлэн,"Согласен, я виноват, но ты на меня не сердись"
660,мнавн Уэлен павылн молях тотэн!,"Самолёт, ты нас скорее отвези в деревню Уэлен!"
661,Ос Масмас ква пыгн ты пйксяӈк патсыт,Они опять стали просить (умолять) сына женщины Масмас
662,Ам сюм лмэ нотэ палытыл Сӯкырья пвлыт лыс,Мой отец всю свою жизнь прожил в своей деревне Щекурья
663,Лӈнукве ӯльпа талихт сякарлы,Белочка на самой вершине кедра извивается
664,сяма та рагаты,"Если медведя стукнешь в упор по кончику носа, то он падает замертво"
665,Вит куль тав ул вит ӯст лы,"Водяной, вероятно, живет в водовороте"
666,витэ сака плям,"Мы летом в реке не купаемся, так как там вода очень холодная"
667,тхтпил мори мт яныгми,"Брусника растет в хороших борах, а голубика растет, где попало"
668,Āквмква ссколыт лы,Бабушка в берестяном домике живет
669,Касай сыпалит лли,Нож в ножнах (находится)
670,Тл сымт сака асирма лыглы,В середине зимы бывает очень холодно
671,Ты йисыӈхум трумт маньнэ хуйтуӈкве хотёрувлахтасыт,В наш век разучились подговаривать девушек выходить замуж
672,Январ тпост нврамт каниколн тртавет,В январе детей отпустят на каникулы
673,тлыиг ēмты ос асирман ла сякыртавēв,"В летнее время нас чуть живыми оставляют комары, наступает зима, опять морозы нас чуть не скручивают (чуть не замерзаем на морозе)"
674,Ххра пититныл кон та квлыс,Дятел уже вышел из гнезда
675,Слыт пēс срканылныл пхын сусмыт,Олени от прежнего места обитания ушли в сторону
676,Ань Русь хумитэ колныл та  оймыгтас,И вот она начала убегать (из дома) от дома своего русского мужа
677,Наӈти аквъёт ханьсьтахтын юртанылл  манрыг тӯйтыглахтгн?!,"Зачем ты скрываешься от тех, с которыми ты всегда учишься?!"
678,ги ты ӈхыгпнтытем,От прочной древесины отколовшаяся щепочка – вот я какая девушка
679,Састум хльныл нуйим сс,С гладкой березы снятая береста
680,Āлумпал мисытныл унсуптым пик,"Это тот бык, которого переправили сюда из того стада коров, которые находятся на той стороне реки"
681,Āнумныл наӈ нматыр ат хусатгн!,Ты от меня ничего не возьмешь!
682,Ань лсэ хӯрмит хталт ос таконыпал ляпаныл уральтлуӈкве патыстэ,"На третий день он петлю, орудие лова, начал рассматривать ещё на более близком расстоянии"
683,Ам млты тлныл усь ханьсьтахтуӈкве патсум,Я начала учиться лишь с прошлого года
684,Хталътныл юв ёхтум мхум,"Люди, вернувшиеся с обеда (с половины, с середины дня)"
685,Холыт лпылныл пусын ткысь рӯпитаӈке патсыт,Назавтра с раннего утра все очень упорно начали работать
686,Ты ӯнлын ныт халныл сяр мнь аны пēрияс…,"Он, из всех стоявших чашек, выбрал самую маленькую…"
687,Мн пвлувт сюм йканыл карыс хтпа тим лыс,"В нашей деревне не было более рослого человека, чем мой отец"
688,Слтныл квлыг cагаве,Из лыка плетут веревку
689,Тсам кēнасныл нньслы враве,Из густого теста делают фигурки оленя
690,урумныл урум,самый тощий
691,сёлыӈныл сёлыӈ,самый богатый
692,Виӈныл виӈ нёвыль пēрияс,Она выбрала самый жирный кусок мяса…
693,Яныгныл яныг сорых пēриясум,Я выбрала самого крупного сырка (рыбу)
694,Хтал т плл  хотаӈ нглыс,С южной стороны показался лебедь
695,Вс питил  тыламлас,Утка вылетела из гнезда
696,Āгим ӯсын товлыӈхпыл тыламлас,Дочь улетела в Берёзово на самолёте
697,ман лувыӈ суныл юв тотыгллавет,"Во время каникул детей (по своим деревням из интерната) развозят или на оленьих нартах, или на лошадях"
698,Мхманув хотаӈ нвлуӈкве мнь хпыл ялантлгыт,Наши люди гонятся за (линяющими) лебедями ездят обычно на маленькой (лёгкой) лодке
699,акваг ла тотаве,"Она скатится в медном котле, её далеко всегда уносит (котёл)"
700,кт тӯпыл вӈкрēв,"Когда мы ездим на маленькой лодке, гребём на ручных веслах (медленно)"
701,Лглыл яласан хтпа  хотталь хунь тагапи,"Пешком идущий человек нигде не застрянет, ничто его не удержит"
702,Мисыг ньтаннтыл мгралахтг,Коровы (две) бодаются рогами
703,Пгрись нтапыл нтхатас,Мальчик подпоясался кушачком
704,…Плсēтыл ткысь мнигтахтыглас …,…Он все больше укутывался своим плащом…
705,Хӯрум хптыл кēрхатам,"…Оказывается, нарта запряжена тремя быкамиоленями"
706,яныг нтмилл нтуӈкве,шить большими швами
707,нврамытн ул вос моставēн,"Вы отправляйтесь тихо, спокойно, чтобы дети об этом не догадывались"
708,Тēнттл пуӈкыл лльт мавēв,Нас встречают без головного убора
709,Тēплохот осься турл рӈхи,Теплоход кричит тоненьким голоском (свистит)
710,Ань ӈк лмтэ тармыл слыянэ ёт та тотыглаве,И вот его носит вместе с оленями на той льдинке
711,Лус нтапёр псыл тӯп лы,Лус (лузан  накидка на плечи) доходит только до пояса
712,хӯлпыл хӯл алысьлаӈкве патсыт,"Когда вода убыла, они начали ловить рыбу сетями"
713,та нтэ и тотымēн,"В сторону тех (двух) девушек мы запустим наши (две), стрелы, будут женами того из нас, которая чью стрелу схватит"
714,Сēрнилал хансым лтыӈ хот хунь пӈктахты,"Что написано чернилами, того не сотрёшь"
715,Лм таил нёлаве,"Рыбьи кости деревянной поварёшкой (от таи ~ тай, смысл остаётся тот же, это вар. говора) размельчают"
716,Вēтранув ӈкыл пльтсанув,Мы наши вёдра подморозили льдом (чтоб ы при доставке  80  81   на санках вода не плескалась)
717,Охсар лгтыл лӈхе тӯйтыл лаптотытэ,Лиса посредством хвоста свои следы засыпает (заметает) снегом
718,Тоӈариӈ сяхныл сыст туясавес,Заостренным кулаком его они стукнули по спине
719,Ты ам ктыл пувум вспыгрисюм,Этого утёнка я поймал (голыми) руками
720,Лӈнукве пēлп аньсяратент пквсаматēнэ аквтоп нас палгалтыянэ,Белочка острыми передними зубками орешки словно запросто крошит
721,Ӯй сов осыӈ нтупыл нтаве,Лосиную кожу обычно шьют толстой иголкой
722,Ань н ввуӈкв ёхталам хум осыӈ нйврасыл кон нвлувес,"Того самого молодого человека, который приезжал свататься, толстым поленом выгнали на улицу"
723,Āгин суп лге хвт ӈхыл ханламе,"Моя дочь, оказывается, подол платья измазала еловой смолой"
